Year,Country,Group,TDI
2007,IND,India,13.052854760292396
2008,IND,India,13.470859369360799
2009,IND,India,13.1237958918998
2010,IND,India,14.390360121787287
2011,IND,India,14.176103062676518
2012,IND,India,12.668539473896953
2013,IND,India,13.849963345926971
2014,IND,India,15.236346174845314
2015,IND,India,18.012395972760075
2016,IND,India,19.107728250926005
2017,IND,India,17.54159366753302
2018,IND,India,17.877283657893713
2019,IND,India,18.55715586880754
2020,IND,India,20.79122554100111
2021,IND,India,20.07557727186033
2022,IND,India,21.717896009232714
2023,IND,India,22.761820310801127
2024,IND,India,23.94060828499349
2007,BRA,Control (Avg),0.0
2008,BRA,Control (Avg),0.0
2009,BRA,Control (Avg),0.0
2010,BRA,Control (Avg),0.0
2011,BRA,Control (Avg),0.0
2012,BRA,Control (Avg),0.0
2013,BRA,Control (Avg),0.0
2014,BRA,Control (Avg),0.0
2015,BRA,Control (Avg),0.0
2016,BRA,Control (Avg),0.0
2017,BRA,Control (Avg),0.0
2018,BRA,Control (Avg),0.0
2019,BRA,Control (Avg),0.0
2020,BRA,Control (Avg),0.0
2021,BRA,Control (Avg),0.0
2022,BRA,Control (Avg),0.0
2023,BRA,Control (Avg),0.0
2024,BRA,Control (Avg),0.0
2010,IDN,Control (Avg),0.0
2011,IDN,Control (Avg),0.0
2012,IDN,Control (Avg),0.0
2013,IDN,Control (Avg),0.0
2014,IDN,Control (Avg),0.0
2015,IDN,Control (Avg),0.0
2016,IDN,Control (Avg),0.0
2017,IDN,Control (Avg),0.0
2018,IDN,Control (Avg),0.0
2019,IDN,Control (Avg),0.0
2020,IDN,Control (Avg),0.0
2021,IDN,Control (Avg),0.0
2022,IDN,Control (Avg),0.0
2023,IDN,Control (Avg),0.0
2024,IDN,Control (Avg),0.0
2008,MEX,Control (Avg),0.0
2009,MEX,Control (Avg),0.0
2010,MEX,Control (Avg),0.0
2011,MEX,Control (Avg),0.0
2012,MEX,Control (Avg),0.0
2013,MEX,Control (Avg),0.0
2014,MEX,Control (Avg),0.0
2015,MEX,Control (Avg),0.0
2016,MEX,Control (Avg),0.0
2017,MEX,Control (Avg),0.0
2018,MEX,Control (Avg),0.0
2019,MEX,Control (Avg),0.0
2020,MEX,Control (Avg),0.0
2021,MEX,Control (Avg),0.0
2022,MEX,Control (Avg),0.0
2023,MEX,Control (Avg),0.0
2024,MEX,Control (Avg),0.0
2007,ZAF,Control (Avg),0.0
2008,ZAF,Control (Avg),0.0
2009,ZAF,Control (Avg),0.0
2010,ZAF,Control (Avg),0.0
2011,ZAF,Control (Avg),0.0
2012,ZAF,Control (Avg),0.0
2013,ZAF,Control (Avg),0.0
2014,ZAF,Control (Avg),0.0
2015,ZAF,Control (Avg),0.0
2016,ZAF,Control (Avg),0.0
2017,ZAF,Control (Avg),0.0
2018,ZAF,Control (Avg),0.0
2019,ZAF,Control (Avg),0.0
2020,ZAF,Control (Avg),0.0
2021,ZAF,Control (Avg),0.0
2022,ZAF,Control (Avg),0.0
2023,ZAF,Control (Avg),0.0
2024,ZAF,Control (Avg),0.0
