Year,Sector_Code,Sector_Name,Criticality,SSVI
2019,84,Machinery & Mechanical Appliances,5,0.0
2019,85,Electrical Machinery & Equipment,5,0.0
2019,29,Organic Chemicals,4,0.0
2019,30,Pharmaceutical Products,5,0.0
2019,39,Plastics,3,0.0
2019,72,Iron & Steel,4,0.0
2019,90,Optical & Medical Instruments,4,0.0
2024,84,Machinery & Mechanical Appliances,5,0.0
2024,85,Electrical Machinery & Equipment,5,0.0
2024,29,Organic Chemicals,4,0.0
2024,30,Pharmaceutical Products,5,0.0
2024,39,Plastics,3,0.0
2024,72,Iron & Steel,4,0.0
2024,90,Optical & Medical Instruments,4,0.0
